City,Country,Latitude,Longitude,Timezone
Moscow,Russia,55.7558,37.6176,Europe/Moscow
Sant Julià de Lòria,Europe,42.46372,1.49129,Europe/Andorra
Ordino,Europe,42.55623,1.53319,Europe/Andorra
les Escaldes,Europe,42.50729,1.53414,Europe/Andorra
la Massana,Europe,42.54499,1.51483,Europe/Andorra
Encamp,Europe,42.53474,1.58014,Europe/Andorra
Canillo,Europe,42.5676,1.59756,Europe/Andorra
Andorra la Vella,Europe,42.50779,1.52109,Europe/Andorra
Warīsān,Asia,25.16744,55.40708,Asia/Dubai
Umm Suqaym,Asia,25.15491,55.21015,Asia/Dubai
Umm Al Quwain City,Asia,25.56473,55.55517,Asia/Dubai
Ţarīf Kalbā,Asia,25.0695,56.33115,Asia/Dubai
Ar Rāshidīyah,Asia,25.22499,55.38947,Asia/Dubai
Ras Al Khaimah City,Asia,25.78953,55.9432,Asia/Dubai
Muzayri‘,Asia,23.14355,53.7881,Asia/Dubai
Maşfūţ,Asia,24.81089,56.10657,Asia/Dubai
Zayed City,Asia,23.65416,53.70522,Asia/Dubai
Khawr Fakkān,Asia,25.33132,56.34199,Asia/Dubai
Kalbā,Asia,25.0513,56.35422,Asia/Dubai
Jumayrā,Asia,25.20795,55.24969,Asia/Dubai
Al Jazīrah al Ḩamrā’,Asia,25.7091,55.80772,Asia/Dubai
Dubai,Asia,25.07725,55.30927,Asia/Dubai
Dibba Al-Fujairah,Asia,25.59246,56.26176,Asia/Dubai
Dibba Al-Hisn,Asia,25.61955,56.27291,Asia/Dubai
Dayrah,Asia,25.27143,55.30207,Asia/Dubai
Sharjah,Asia,25.33737,55.41206,Asia/Dubai
Ar Ruways,Asia,24.11028,52.73056,Asia/Dubai
Al Manāmah,Asia,25.3299,56.02188,Asia/Dubai
Ḩattā,Asia,24.80073,56.12726,Asia/Dubai
Al Fujairah City,Asia,25.11641,56.34141,Asia/Dubai
Al Ain City,Asia,24.19167,55.76056,Asia/Dubai
Ajman City,Asia,25.40177,55.47878,Asia/Dubai
Adh Dhayd,Asia,25.28812,55.88157,Asia/Dubai
Abu Dhabi,Asia,24.45118,54.39696,Asia/Dubai
Abū Hayl,Asia,25.28413,55.33153,Asia/Dubai
As Saţwah,Asia,25.22192,55.27459,Asia/Dubai
Nadd al Ḩumr,Asia,25.20131,55.38388,Asia/Dubai
Suwayḩān,Asia,24.46235,55.33715,Asia/Dubai
Al Ḩamīdīyah,Asia,25.40001,55.52925,Asia/Dubai
Al Waheda,Asia,25.29173,55.33822,Asia/Dubai
Al Twar First,Asia,25.27148,55.36165,Asia/Dubai
AL Twar Second,Asia,25.26309,55.38028,Asia/Dubai
Al Qusais Second,Asia,25.27148,55.38603,Asia/Dubai
Al Karama,Asia,25.24004,55.30106,Asia/Dubai
Al Hudaiba,Asia,25.24151,55.27805,Asia/Dubai
Knowledge Village,Asia,25.10223,55.16433,Asia/Dubai
The Palm Jumeirah,Asia,25.11607,55.13506,Asia/Dubai
Za'abeel,Asia,25.22536,55.305,Asia/Dubai
Oud Metha,Asia,25.23685,55.31419,Asia/Dubai
Bur Dubai,Asia,25.26038,55.29891,Asia/Dubai
Khalifah A City,Asia,24.42588,54.605,Asia/Dubai
Shakhbout City,Asia,24.36727,54.63721,Asia/Dubai
